job_id,order_date,customer_name,region,product_line,units_completed,revenue,material_cost,labor_cost,freight_cost,rush_flag,discount_pct,status,quoted_ship_date,actual_ship_date,rework_hours
2001,2/12/2026,Valley Med,Northeast,Implants,57,8213.08,2485.21,939.94,822.8,N,5,Shipped,2/20/2026,2/23/2026,2.1
2002,2/25/2026,Acme Health,Midwest,Kits,342,41522.11,21070.4,5604.65,384.16,N,0,Cancelled,3/5/2026,,0
2003,2/24/2026,Valley Med,Midwest,Components,306,43906.96,14198.38,5039.45,591.27,N,2.5,Cancelled,3/6/2026,,0
2004,3/11/2026,Metro Ortho,West,Custom Assemblies,319,0,18257.42,3340.47,198.7,N,2.5,Cancelled,3/20/2026,,0
2005,2/14/2026,Beacon Surgical,West,Implants,80,8631.69,2758.61,972.56,842.95,N,10,Shipped,2/22/2026,3/3/2026,0
2006,2/11/2026,Lakeside Hospital,West,Custom Assemblies,316,44630.69,13233.14,2428.37,275.8,Y,5,Shipped,2/19/2026,2/26/2026,2.1
2007,2/28/2026,Summit Care,Northeast,Components,31,4899.73,1789.93,526.89,467.11,N,10,Shipped,3/16/2026,3/24/2026,4
2008,3/6/2026,North Clinic,South,Custom Assemblies,225,25264.01,12430.2,4668.08,783.71,N,2.5,Shipped,3/26/2026,4/2/2026,7
2009,1/31/2026,Valley Med,Midwest,Kits,97,7288.48,2448.93,1428.74,548.7,N,5,Shipped,2/16/2026,2/15/2026,1.5
2010,2/11/2026,Valley Med,Midwest,Custom Assemblies,419,66776.32,29604.48,6732.03,385.35,N,7.5,In Production,2/21/2026,,5.4
2011,2/22/2026,Acme Health,South,Implants,126,12543.72,3843.18,2118.45,132.53,N,0,Shipped,3/18/2026,3/20/2026,3.1
2012,2/19/2026,Valley Med,West,Components,328,29719.14,9197.54,6980.12,894.1,N,0,In Production,3/13/2026,,3.2
2013,1/12/2026,Valley Med,Midwest,Components,399,0,15091.73,3553.45,64.75,N,7.5,Cancelled,1/23/2026,,0
2014,1/13/2026,Summit Care,West,Kits,202,27939.98,11394.54,4044.64,326.86,N,0,Shipped,2/8/2026,2/17/2026,1.4
2015,2/22/2026,Pioneer Labs,South,Custom Assemblies,202,26972.55,13958.43,4084.86,448.77,N,0,Shipped,3/20/2026,3/24/2026,5.7
2016,2/17/2026,North Clinic,South,Implants,136,14007.91,5057.65,1997.54,887.39,Y,7.5,Shipped,3/11/2026,3/20/2026,0
2017,1/12/2026,North Clinic,Northeast,Kits,264,40131.77,15416.3,4605.52,119.17,N,0,In Production,2/2/2026,,3.9
2018,1/23/2026,Valley Med,Midwest,Kits,322,49545.4,23462.74,2779.23,751.67,N,5,Shipped,2/20/2026,2/19/2026,2.7
2019,3/13/2026,Valley Med,Midwest,Implants,429,69323.89,30219.8,6640.26,843.25,N,0,Shipped,3/26/2026,3/23/2026,4
2020,2/12/2026,Summit Care,Northeast,Kits,51,7878.07,2874.77,726.59,543.76,N,0,Shipped,3/7/2026,3/12/2026,6.5
2021,3/10/2026,Acme Health,Northeast,Kits,331,16040.29,7567.82,3012.84,449.84,Y,2.5,Shipped,4/3/2026,4/5/2026,2.5
2022,1/15/2026,Acme Health,South,Kits,161,8522.9,2586.35,2276.41,68.83,Y,5,Shipped,2/5/2026,2/11/2026,0.6
2023,3/8/2026,Pioneer Labs,West,Custom Assemblies,280,30910.43,12201.23,6425.17,642.83,N,2.5,Shipped,4/1/2026,4/5/2026,5
2024,2/11/2026,North Clinic,South,Custom Assemblies,57,4154.43,1465.13,467.53,709.28,N,2.5,Shipped,2/22/2026,2/21/2026,5.2
2025,1/30/2026,North Clinic,Northeast,Custom Assemblies,103,16872.94,8095.41,917.36,413.95,N,7.5,In Production,2/16/2026,,4.9
2026,2/17/2026,Acme Health,West,Custom Assemblies,245,31915.83,11880.43,3751.88,297.61,Y,0,Shipped,2/27/2026,2/25/2026,6.5
2027,2/4/2026,Summit Care,Midwest,Kits,158,21555.29,10276.41,3364.23,622.96,N,7.5,Shipped,2/23/2026,2/28/2026,7.4
2028,2/12/2026,North Clinic,West,Implants,429,55135.1,21065.8,3133.18,847.29,Y,10,Shipped,2/27/2026,3/5/2026,2.1
2029,1/30/2026,North Clinic,West,Implants,252,12436.43,6449.95,3406.96,827.69,N,0,Cancelled,2/7/2026,,0
2030,1/8/2026,Valley Med,South,Components,341,28536.8,13191.98,3825.78,472.58,N,0,Shipped,1/23/2026,2/1/2026,0
2031,2/3/2026,Acme Health,Midwest,Implants,395,42328.8,21788,6026.21,255.06,N,2.5,In Production,2/13/2026,,1.9
2032,3/7/2026,Summit Care,South,Kits,195,13891.62,6829.99,3728.24,164.46,N,0,Shipped,3/15/2026,3/12/2026,0.9
2033,2/3/2026,Metro Ortho,South,Implants,63,7927.39,2944.32,951.74,875.15,N,0,Shipped,2/19/2026,2/23/2026,4.9
2034,2/4/2026,Lakeside Hospital,West,Components,145,7544.39,3710.13,1438.63,201.43,N,0,Shipped,2/23/2026,2/27/2026,6.2
2035,3/7/2026,Pioneer Labs,South,Implants,66,5207.91,1570.4,870.62,80.63,Y,5,Shipped,3/23/2026,3/30/2026,4.4
2036,1/21/2026,Metro Ortho,West,Custom Assemblies,96,7799.87,3342.16,826.13,750.25,N,10,Shipped,2/13/2026,2/18/2026,8
2037,3/7/2026,Acme Health,South,Implants,35,1851.43,801.5,814.5,367.01,N,0,Shipped,3/31/2026,4/7/2026,7.7
2038,3/5/2026,Summit Care,Midwest,Custom Assemblies,428,24054.91,12118.89,9485.09,123.61,Y,0,Shipped,3/27/2026,4/5/2026,4.4
2039,2/4/2026,Pioneer Labs,South,Kits,398,49368.75,19277.59,8445.39,110.61,N,0,Cancelled,2/12/2026,,0
2040,2/3/2026,Summit Care,South,Implants,266,0,5049.03,4813.54,636.82,N,2.5,Cancelled,2/19/2026,,0
2041,3/2/2026,North Clinic,South,Components,63,9925.13,2820.73,898.47,746.01,N,0,In Production,3/17/2026,,5.8
2042,1/11/2026,North Clinic,South,Components,204,12957.02,6178.58,3092.11,803.27,N,2.5,In Production,1/25/2026,,11
2043,2/21/2026,Acme Health,South,Implants,271,34619.11,13061.81,5173.2,400.83,N,10,Shipped,3/10/2026,3/12/2026,9
2044,2/21/2026,North Clinic,South,Implants,398,32600.36,12040.4,5202.73,898.97,Y,10,In Production,3/11/2026,,4.1
2045,2/6/2026,Acme Health,West,Implants,46,6700.23,2335.36,1050.67,258.17,N,2.5,Cancelled,2/26/2026,,0
2046,1/5/2026,Metro Ortho,South,Implants,45,7074.7,2678.57,768.08,163.48,N,0,Shipped,1/27/2026,2/1/2026,8.7
2047,1/23/2026,Beacon Surgical,Northeast,Components,164,13585.65,6213.64,3866.03,267.44,N,0,In Production,2/8/2026,,1.2
2048,1/22/2026,North Clinic,South,Custom Assemblies,301,22196.63,11042.87,7204.9,429.72,N,0,Shipped,2/15/2026,2/15/2026,2.9
2049,1/24/2026,Lakeside Hospital,Midwest,Components,142,12935.02,6134.38,1368.67,62.17,N,0,In Production,2/12/2026,,3.9
2050,2/14/2026,Acme Health,Northeast,Components,314,50622.82,15703.69,4729.19,583.33,N,2.5,Shipped,2/23/2026,2/23/2026,1.9
2051,2/22/2026,Beacon Surgical,Northeast,Components,436,65455.91,18670.29,2869.05,651.63,N,10,In Production,3/19/2026,,7
2052,3/10/2026,Beacon Surgical,Northeast,Kits,420,25518.52,8090.67,6469.08,628.17,N,0,Cancelled,3/19/2026,,0
2053,1/18/2026,Pioneer Labs,Midwest,Components,85,10310.27,4194.02,1179.27,698.09,Y,0,Shipped,1/27/2026,2/1/2026,5.8
2054,1/30/2026,Acme Health,Midwest,Components,255,20552.14,7315.03,5382.9,252.22,N,2.5,Shipped,2/23/2026,2/20/2026,3.3
2055,2/10/2026,Acme Health,Midwest,Kits,275,41670,18139.8,2051.41,239.8,N,2.5,Shipped,2/28/2026,3/4/2026,6.7
2056,2/17/2026,Metro Ortho,South,Implants,428,35171.76,16982.19,3087.5,468.82,N,2.5,Shipped,3/5/2026,3/5/2026,4.6
2057,1/30/2026,Summit Care,West,Implants,339,35935.52,11677.43,3396.72,401.56,Y,5,Shipped,2/25/2026,2/28/2026,4.6
2058,1/20/2026,Metro Ortho,Midwest,Implants,114,10718.12,5311.47,2497.11,671.48,Y,0,Shipped,2/1/2026,2/1/2026,4.2
2059,3/10/2026,Beacon Surgical,Midwest,Components,360,47832.89,23026.3,8542.69,423.28,Y,0,Shipped,3/17/2026,3/18/2026,6.7
2060,1/28/2026,Metro Ortho,West,Components,440,62506.64,18818.4,8225.63,212.34,N,7.5,Shipped,2/10/2026,2/12/2026,5.5
2061,3/3/2026,Acme Health,Northeast,Kits,435,52710.16,19879.4,5550.69,441.76,Y,0,Shipped,3/18/2026,3/26/2026,7.8
2062,2/5/2026,Lakeside Hospital,Midwest,Components,402,53002.25,18866.47,4406.46,48.22,Y,2.5,Shipped,2/12/2026,2/10/2026,5.6
2063,3/2/2026,Metro Ortho,West,Custom Assemblies,437,0,23230.2,4061,731.2,N,10,Cancelled,3/13/2026,,0
2064,1/12/2026,Pioneer Labs,Northeast,Kits,146,13973.3,6090.84,2141.88,510.65,N,0,Shipped,2/1/2026,1/30/2026,9.9
2065,1/12/2026,Pioneer Labs,Midwest,Custom Assemblies,275,45002.8,23100.3,2507.3,158.66,N,10,Shipped,2/7/2026,2/15/2026,0
2066,1/17/2026,Summit Care,West,Components,310,24588.24,8383.94,3312.67,420.69,N,0,Shipped,1/31/2026,1/30/2026,2.8
2067,1/26/2026,Lakeside Hospital,Midwest,Custom Assemblies,148,24289.24,9758.39,1504.4,736.22,N,10,Shipped,2/3/2026,1/31/2026,0
2068,2/28/2026,Lakeside Hospital,Midwest,Components,139,8610.82,2802.8,3268.36,543.63,Y,2.5,Cancelled,3/18/2026,,0
2069,2/4/2026,Acme Health,Midwest,Components,131,6862.07,2481.35,890.14,899.89,Y,0,Shipped,3/2/2026,2/27/2026,5.3
2070,1/25/2026,Summit Care,Midwest,Kits,36,0,2089.64,257,131.69,N,5,Cancelled,2/22/2026,,0
2071,1/13/2026,Valley Med,Northeast,Components,229,37469.88,16497.04,3096.36,88.91,N,10,In Production,2/2/2026,,9.1
2072,2/17/2026,Pioneer Labs,Northeast,Custom Assemblies,124,19618.35,7537.36,1093.46,142.08,Y,2.5,Cancelled,3/8/2026,,0
2073,1/22/2026,Valley Med,Midwest,Implants,302,19530.98,9248.94,3968.57,534.8,N,0,Shipped,2/14/2026,2/13/2026,3
2074,1/10/2026,North Clinic,Northeast,Custom Assemblies,405,57576.09,29481.85,3868.62,153.29,Y,5,Shipped,2/1/2026,1/29/2026,5.5
2075,2/20/2026,North Clinic,South,Kits,337,32124.42,15520.09,7051.85,201.44,N,0,In Production,2/28/2026,,5.6
2076,1/17/2026,Valley Med,South,Kits,41,6207.89,2993.42,742.12,616.05,N,5,In Production,1/27/2026,,3.3
2077,3/1/2026,Summit Care,Northeast,Components,318,24537.92,9162.73,4011.28,475.56,N,2.5,Shipped,3/8/2026,3/14/2026,7.3
2078,3/1/2026,Valley Med,Northeast,Custom Assemblies,74,4133.13,1512.97,930.62,730.95,Y,7.5,Shipped,3/9/2026,3/7/2026,3.7
2079,2/11/2026,North Clinic,Midwest,Custom Assemblies,354,56375.05,17627.61,7585.25,896.69,Y,10,Shipped,2/24/2026,2/28/2026,2.7
2080,1/23/2026,Pioneer Labs,Midwest,Components,332,45309.05,14413,7349.71,280.12,N,2.5,Shipped,2/3/2026,2/8/2026,9.3
